timestamp,location,detected_type,speed,certainty,zones,time_elapsed,lat,lon,x,y,speed_mph,is_confident,lat_scaled,lon_scaled,anomaly_score,is_anomaly
2025-10-06 18:55:21.053,foothill,Car,9.313376666666668,0.98,['SB Exit'],0,35.29382185982769,-120.66796713785487,-120.66796713785487,35.29382185982769,9.313376666666668,True,0.2877165820391383,0.26985991752007976,0.07010449234917981,1
2025-10-06 18:55:21.053,foothill,Car,2.108936734402852,0.3682468120115179,['NB Entry'],0,35.29367338120693,-120.667823875475,-120.667823875475,35.29367338120693,2.108936734402852,False,0.0,0.4991775800008327,0.1008708805824442,1
2025-10-06 18:55:21.053,foothill,Car,11.488339203985555,0.8503742401389461,['EB Exit'],0,35.29398489724741,-120.66764921990053,-120.66764921990053,35.29398489724741,11.488339203985555,True,0.6036446860816795,0.7787457967933733,0.07091103559989886,1
2025-10-06 18:55:21.053,foothill,Car,0.0,0.9568480129436746,['Unknown'],0,35.29403144639019,-120.66751985365607,-120.66751985365607,35.29403144639019,0.0,True,0.6938459567318205,0.9858201509050559,0.05553513918630637,1
2025-10-06 18:55:21.053,foothill,Car,33.567163644605465,0.9885627705627704,['WB Exit'],0,35.29408375755935,-120.6681357283315,-120.6681357283315,35.29408375755935,33.567163644605465,True,0.7952126768359449,0.0,-0.09811228992186372,-1
2025-10-06 18:55:22.114,foothill,Car,7.715616363636363,0.3062049062049061,['NB Entry'],0,35.293676849669566,-120.66780603163916,-120.66780603163916,35.293676849669566,7.715616363636363,False,0.006721063342411071,0.5277399054903071,0.04042478622165402,1
2025-10-06 18:55:21.053,foothill,Car,18.83767805532573,0.9758450332099676,"['WB Entry', 'NB Exit']",0,35.29418943982165,-120.66781671877034,-120.66781671877034,35.29418943982165,18.83767805532573,True,1.0,0.510633195808623,0.015243898500139297,1
2025-10-06 18:55:21.993,foothill,Car,12.301883443576967,0.7899999999999999,['EB Exit'],0,35.293991073457676,-120.66755565997592,-120.66755565997592,35.293991073457676,12.301883443576967,True,0.6156127263093367,0.9285055818036199,0.08991598933408596,1
2025-10-06 18:55:21.053,foothill,Car,11.5381652996025,0.985396986851872,['SB Exit'],0,35.29377579349358,-120.66792922398572,-120.66792922398572,35.29377579349358,11.5381652996025,True,0.19845088082365692,0.3305480050330516,0.056378255789773624,1
2025-10-06 18:55:21.053,foothill,Car,12.37028895365253,0.9900000000000008,['EB Exit'],0,35.29402192115327,-120.66751137017144,-120.66751137017144,35.29402192115327,12.37028895365253,True,0.6753882919583702,0.9993995209224522,0.0838956014914558,1
2025-10-06 18:55:21.789,foothill,Car,11.783162179993203,0.7127791954603282,"['EB Entry', 'SB Exit']",0,35.29378018245126,-120.66793305158508,-120.66793305158508,35.29378018245126,11.783162179993203,True,0.20695564667403232,0.3244212316640187,0.0566875792558027,1
2025-10-06 18:55:21.053,foothill,Car,24.19678533303949,0.9847758907466772,['EB Exit'],0,35.294020270894464,-120.66751099503216,-120.66751099503216,35.294020270894464,24.19678533303949,True,0.6721904792211717,1.0,0.0,1
2025-10-06 18:55:21.053,foothill,Car,0.0,0.9446637436581288,['NB Entry'],0,35.29384552452285,-120.66783932019572,-120.66783932019572,35.29384552452285,0.0,True,0.33357318531489,0.4744554773787968,0.18959493523089743,1
2025-10-06 18:55:23.187,foothill,Car,16.43736070378718,0.6635572967404569,"['WB Entry', 'NB Exit']",0,35.294188891508895,-120.66781326193104,-120.66781326193104,35.294188891508895,16.43736070378718,True,0.9989374990691431,0.5161664998449851,0.02957336300459401,1
2025-10-06 18:55:24.275,foothill,Car,9.655241813427432,0.7203154579391097,"['EB Entry', 'SB Exit']",0,35.2938197022857,-120.66796437749528,-120.66796437749528,35.2938197022857,9.655241813427432,True,0.28353577404050156,0.2742783783178311,0.07337151012176468,1
2025-10-06 18:55:21.053,foothill,Person,1.8569582044530597,0.8542247545407086,['WB Entry'],0,35.29413164652638,-120.66761579120904,-120.66761579120904,35.29413164652638,1.8569582044530597,True,0.8880102112016175,0.832254536479013,0.08891473280104001,1
2025-10-06 18:55:21.053,foothill,Car,0.0259169717214469,0.8590670662479183,['NB Entry'],0,35.29372813115998,-120.6678390110721,-120.6678390110721,35.29372813115998,0.0259169717214469,True,0.10609250866400544,0.4749502863269299,0.15657069111794003,1
2025-10-06 18:55:21.053,foothill,Car,0.0,0.8999999999999999,['NB Entry'],0,35.29381034477893,-120.66780293991197,-120.66780293991197,35.29381034477893,0.0,True,0.2654031307611149,0.5326887807750609,0.1757248050466947,1
2025-10-06 18:55:21.053,foothill,Car,0.0,0.9600000000000002,['NB Entry'],0,35.2937973493502,-120.66783940254136,-120.66783940254136,35.2937973493502,0.0,True,0.24022105190670118,0.47432366813882254,0.19370835203410747,1
2025-10-06 18:55:21.053,foothill,Car,0.0,0.7699999999999997,['NB Entry'],0,35.29385665004639,-120.66780844385104,-120.66780844385104,35.29385665004639,0.0,True,0.35513182850263547,0.5238787188136484,0.1874972234395575,1
2025-10-06 18:55:21.053,foothill,Car,0.0,0.9600000000000002,['NB Entry'],0,35.29376618160342,-120.66784220004249,-120.66784220004249,35.29376618160342,0.0,True,0.17982530247536488,0.46984575552050956,0.17663650952780818,1
2025-10-06 18:55:21.053,foothill,Car,0.0,0.9277670362946232,['NB Entry'],0,35.293757153295076,-120.6677978284244,-120.6677978284244,35.293757153295076,0.0,True,0.16233056818600744,0.5408706522721332,0.1876998084315039,1
