timestamp,location,detected_type,speed,certainty,zones,time_elapsed,speed_mph,is_confident
2025-10-06 18:55:29.458,foothill,Car,0.0,0.7963769707214008,['Unknown'],0,0.0,True
2025-10-06 18:55:29.458,foothill,Car,0.0,0.9217333197505376,['Unknown'],0,0.0,True
2025-10-06 18:55:30.260,foothill,Car,14.355740683263472,0.6782521438749592,"['NB Exit', 'EB Exit']",0,14.355740683263472,True
2025-10-06 18:55:33.717,foothill,Car,7.789850900222857,0.5119852284851347,['SB Entry'],0,7.789850900222857,True
2025-10-06 18:55:34.319,foothill,Car,7.928745593059045,0.4113108821103994,['WB Entry'],0,7.928745593059045,False
2025-10-06 18:55:21.053,dunbarton,Car,9.313376666666667,0.98,['Unknown'],0,9.313376666666667,True
2025-10-06 18:55:21.053,dunbarton,Car,2.1089367344028522,0.36824681201151793,['Unknown'],0,2.1089367344028522,False
2025-10-06 18:55:21.053,dunbarton,Car,11.488339203985557,0.8503742401389461,['Unknown'],0,11.488339203985557,True
2025-10-06 18:55:21.053,dunbarton,Car,0.0,0.9568480129436746,['Unknown'],0,0.0,True
2025-10-06 18:55:21.053,dunbarton,Car,33.567163644605465,0.9885627705627705,['Unknown'],0,33.567163644605465,True
2025-10-06 18:55:22.114,dunbarton,Car,7.715616363636363,0.30620490620490615,['Unknown'],0,7.715616363636363,False
2025-10-06 18:55:21.053,dunbarton,Car,18.83767805532573,0.9758450332099675,['Unknown'],0,18.83767805532573,True
2025-10-06 18:55:21.993,dunbarton,Car,12.301883443576969,0.7899999999999999,['Unknown'],0,12.301883443576969,True
2025-10-06 18:55:21.053,dunbarton,Car,11.538165299602499,0.985396986851872,['Unknown'],0,11.538165299602499,True
2025-10-06 18:55:21.053,dunbarton,Car,12.37028895365253,0.9900000000000007,['Unknown'],0,12.37028895365253,True
2025-10-06 18:55:21.789,dunbarton,Car,11.783162179993205,0.7127791954603282,['Unknown'],0,11.783162179993205,True
2025-10-06 18:55:21.053,dunbarton,Car,24.196785333039486,0.9847758907466773,['Unknown'],0,24.196785333039486,True
2025-10-06 18:55:21.053,dunbarton,Car,0.0,0.9446637436581287,['Unknown'],0,0.0,True
