object_id,timestamp,location,detected_type,speed,certainty,zones,time_elapsed,path_index,lat,lon,x,y,speed_mph,is_confident,lat_scaled,lon_scaled,anomaly_score,is_anomaly
68f680b192f9cd540eba514f,2025-10-06 18:55:21.053,foothill,Car,9.313376666666668,0.98,['SB Exit'],0,0,35.293825691826726,-120.66796727584116,-120.66796727584116,35.293825691826726,9.313376666666668,True,0.3370328739983961,0.2696390452038031,0.01821413505029723,1
68f680b292f9cd540eba5165,2025-10-06 18:55:21.053,foothill,Car,0.0,0.7300000000000002,['Unknown'],0,106,35.294180915647644,-120.66771032835386,-120.66771032835386,35.294180915647644,0.0,True,0.9844638397407834,0.6809305316128302,0.19344860204804382,1
68f680b192f9cd540eba515e,2025-10-06 18:55:21.053,foothill,Person,1.8569582044530597,0.8542247545407086,['WB Entry'],0,46,35.29412949683348,-120.66764787552184,-120.66764787552184,35.29412949683348,1.8569582044530597,True,0.8907479047338711,0.7808977209788281,0.1617105454311868,1
68f680b192f9cd540eba515e,2025-10-06 18:55:21.053,foothill,Person,1.8569582044530597,0.8542247545407086,['WB Entry'],0,45,35.29412952545826,-120.6676481866918,-120.6676481866918,35.29412952545826,1.8569582044530597,True,0.8908000762676238,0.7803996364818886,0.16012056236599087,1
68f680b192f9cd540eba515e,2025-10-06 18:55:21.053,foothill,Person,1.8569582044530597,0.8542247545407086,['WB Entry'],0,44,35.294129513276005,-120.66764691037515,-120.66764691037515,35.294129513276005,1.8569582044530597,True,0.8907778728898847,0.7824426149018109,0.1699824321820504,1
68f680b192f9cd540eba5157,2025-10-06 18:55:21.053,foothill,Car,11.5381652996025,0.985396986851872,['SB Exit'],0,35,35.29382326745946,-120.66794068726148,-120.66794068726148,35.29382326745946,11.5381652996025,True,0.3326142220175825,0.31219893391244113,0.0717443866598767,1
68f680b192f9cd540eba5157,2025-10-06 18:55:21.053,foothill,Car,11.5381652996025,0.985396986851872,['SB Exit'],0,36,35.293820262866404,-120.66793965174038,-120.66793965174038,35.293820262866404,11.5381652996025,True,0.3271380504593253,0.31385647496790625,0.06928075092759245,1
68f680b192f9cd540eba5157,2025-10-06 18:55:21.053,foothill,Car,11.5381652996025,0.985396986851872,['SB Exit'],0,37,35.29381618599956,-120.66793896289364,-120.66793896289364,35.29381618599956,11.5381652996025,True,0.3197075526113622,0.31495910027297214,0.06557352385230852,1
68f680b192f9cd540eba5157,2025-10-06 18:55:21.053,foothill,Car,11.5381652996025,0.985396986851872,['SB Exit'],0,38,35.29381309153024,-120.66793798982754,-120.66793798982754,35.29381309153024,11.5381652996025,True,0.31406757256627316,0.31651667068945244,0.059160702037456936,1
68f680b292f9cd540eba5165,2025-10-06 18:55:21.053,foothill,Car,0.0,0.7300000000000002,['Unknown'],0,114,35.294180900696404,-120.6677105485016,-120.6677105485016,35.294180900696404,0.0,True,0.9844365896060481,0.6805781448783819,0.20752031894515705,1
68f680b192f9cd540eba5157,2025-10-06 18:55:21.053,foothill,Car,11.5381652996025,0.985396986851872,['SB Exit'],0,39,35.29380998713606,-120.66793701358957,-120.66793701358957,35.29380998713606,11.5381652996025,True,0.3084095034719212,0.3180793182400521,0.0570605387668377,1
68f680b192f9cd540eba5157,2025-10-06 18:55:21.053,foothill,Car,11.5381652996025,0.985396986851872,['SB Exit'],0,41,35.293803701588615,-120.66793505497454,-120.66793505497454,35.293803701588615,11.5381652996025,True,0.2969534641742939,0.3212144401331898,0.05235602535786665,1
68f680b192f9cd540eba5157,2025-10-06 18:55:21.053,foothill,Car,11.5381652996025,0.985396986851872,['SB Exit'],0,42,35.293800552726964,-120.66793407902306,-120.66793407902306,35.293800552726964,11.5381652996025,True,0.29121434866829077,0.3227766290947329,0.04976927354085714,1
68f680b192f9cd540eba5157,2025-10-06 18:55:21.053,foothill,Car,11.5381652996025,0.985396986851872,['SB Exit'],0,43,35.29379646057379,-120.66793297539898,-120.66793297539898,35.29379646057379,11.5381652996025,True,0.2837559899489861,0.3245431814575568,0.04587107289603809,1
68f680b192f9cd540eba5157,2025-10-06 18:55:21.053,foothill,Car,11.5381652996025,0.985396986851872,['SB Exit'],0,44,35.29379321086736,-120.66793201780338,-120.66793201780338,35.29379321086736,11.5381652996025,True,0.27783307474601315,0.3260759885015432,0.043513198302302936,1
68f680b192f9cd540eba5157,2025-10-06 18:55:21.053,foothill,Car,11.5381652996025,0.985396986851872,['SB Exit'],0,45,35.293789959278286,-120.66793106636732,-120.66793106636732,35.293789959278286,11.5381652996025,True,0.27190672822325723,0.3275989360699896,0.03899450344785149,1
68f680b192f9cd540eba5157,2025-10-06 18:55:21.053,foothill,Car,11.5381652996025,0.985396986851872,['SB Exit'],0,46,35.29378672512422,-120.66793012000626,-120.66793012000626,35.29378672512422,11.5381652996025,True,0.2660121587541653,0.3291137601772789,0.03886274990465677,1
68f680b192f9cd540eba5157,2025-10-06 18:55:21.053,foothill,Car,11.5381652996025,0.985396986851872,['SB Exit'],0,47,35.293784651217095,-120.66793055737544,-120.66793055737544,35.293784651217095,11.5381652996025,True,0.26223225545254536,0.3284136707370635,0.03811799373664182,1
68f680b192f9cd540eba5157,2025-10-06 18:55:21.053,foothill,Car,11.5381652996025,0.985396986851872,['SB Exit'],0,48,35.29378089700032,-120.66793005583231,-120.66793005583231,35.29378089700032,11.5381652996025,True,0.25538981963472907,0.3292164823214989,0.036467850333959495,1
68f680b192f9cd540eba5157,2025-10-06 18:55:21.053,foothill,Car,11.5381652996025,0.985396986851872,['SB Exit'],0,40,35.29380685047073,-120.66793603090557,-120.66793603090557,35.29380685047073,11.5381652996025,True,0.30269261698413175,0.31965228385524824,0.056165722455860045,1
68f680b192f9cd540eba5157,2025-10-06 18:55:21.053,foothill,Car,11.5381652996025,0.985396986851872,['SB Exit'],0,49,35.29377770037655,-120.6679292576484,-120.6679292576484,35.29377770037655,11.5381652996025,True,0.24956365289108362,0.33049412176478654,0.03024026474760888,1
68f680b292f9cd540eba5165,2025-10-06 18:55:21.053,foothill,Car,0.0,0.7300000000000002,['Unknown'],0,113,35.29418090353573,-120.66771054981128,-120.66771054981128,35.29418090353573,0.0,True,0.9844417645726935,0.6805760485003702,0.2093269470826969,1
68f680b292f9cd540eba5165,2025-10-06 18:55:21.053,foothill,Car,0.0,0.7300000000000002,['Unknown'],0,111,35.29418090358433,-120.66771045314108,-120.66771045314108,35.29418090358433,0.0,True,0.9844418531502015,0.6807307868439239,0.19472577809148817,1
68f680b292f9cd540eba5166,2025-10-06 18:55:21.053,foothill,Car,0.0,0.7441541199887606,['Unknown'],0,7,35.29391073083872,-120.66782287684984,-120.66782287684984,35.29391073083872,0.0,True,0.4920249843780766,0.5007760623411741,0.19715955243143207,1
68f680b292f9cd540eba5165,2025-10-06 18:55:21.053,foothill,Car,0.0,0.7300000000000002,['Unknown'],0,95,35.29418090620368,-120.66771058083414,-120.66771058083414,35.29418090620368,0.0,True,0.9844466271679266,0.6805263907299377,0.2105142509515988,1
68f680b292f9cd540eba5165,2025-10-06 18:55:21.053,foothill,Car,0.0,0.7300000000000002,['Unknown'],0,117,35.29418089457522,-120.6677105433857,-120.6677105433857,35.29418089457522,0.0,True,0.9844254331401316,0.6805863338231575,0.20042849484903946,1
68f680b292f9cd540eba5165,2025-10-06 18:55:21.053,foothill,Car,0.0,0.7300000000000002,['Unknown'],0,115,35.29418089576467,-120.66771054813326,-120.66771054813326,35.29418089576467,0.0,True,0.9844276010262547,0.6805787344637793,0.20172832328719298,1
68f680b292f9cd540eba5165,2025-10-06 18:55:21.053,foothill,Car,0.0,0.7300000000000002,['Unknown'],0,97,35.294180889804636,-120.667710524641,-120.667710524641,35.294180889804636,0.0,True,0.9844167382761952,0.6806163381261285,0.19292590033393925,1
68f680b292f9cd540eba5165,2025-10-06 18:55:21.053,foothill,Car,0.0,0.7300000000000002,['Unknown'],0,98,35.29418089200959,-120.66771050094412,-120.66771050094412,35.29418089200959,0.0,True,0.9844207570276922,0.6806542693229858,0.1903583213890696,1
68f680b292f9cd540eba5165,2025-10-06 18:55:21.053,foothill,Car,0.0,0.7300000000000002,['Unknown'],0,99,35.29418089885979,-120.66771047700168,-120.66771047700168,35.29418089885979,0.0,True,0.9844332421998843,0.6806925935961772,0.1954290800917341,1
68f680b292f9cd540eba5165,2025-10-06 18:55:21.053,foothill,Car,0.0,0.7300000000000002,['Unknown'],0,100,35.29418090507306,-120.6677104752418,-120.6677104752418,35.29418090507306,0.0,True,0.9844445665075909,0.6806954105850309,0.202927805715915,1
68f680b292f9cd540eba5165,2025-10-06 18:55:21.053,foothill,Car,0.0,0.7300000000000002,['Unknown'],0,112,35.29418090247162,-120.6677104647235,-120.6677104647235,35.29418090247162,0.0,True,0.9844398251225357,0.6807122470636386,0.19915668548483773,1
68f680b292f9cd540eba5165,2025-10-06 18:55:21.053,foothill,Car,0.0,0.7300000000000002,['Unknown'],0,101,35.29418090760288,-120.66771043828447,-120.66771043828447,35.29418090760288,0.0,True,0.9844491773546906,0.6807545675546862,0.1960675716949935,1
