object_id,timestamp,location,detected_type,speed_mps,accel,jerk,heading_deg,d_heading_deg,nn_dist_m,closing_rate_mps,ttc_s,rel_speed_mps,heading_diff_deg,zone_change,path_gap,certainty,is_confident,lat,lon,dt_s,dv,accel_new,jerk_new
690fd7d987825a48788a8a36,2025-10-12 20:10:16.401,foothill,Car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,1,0,0.8117907421839193,True,35.293682,-120.66784,0.1,0.0,0.0,0.0
690fd7d987825a48788a8a36,2025-10-12 20:10:16.401,foothill,Car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0.8117907421839193,True,35.293682,-120.66784,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a36,2025-10-12 20:10:16.401,foothill,Car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0.8117907421839193,True,35.293682,-120.66784,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,0.0,0.6924214363098145,0.0,inf,0.0,0.0,1,0,0.6711154139601712,True,35.29402,-120.66814,0.1,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,0.0,0.4241749942302704,0.0,inf,0.0,0.0,0,0,0.6711154139601712,True,35.29402,-120.66813,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0.6711154139601712,True,35.294025,-120.66813,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0.6711154139601712,True,35.294025,-120.66813,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0.6711154139601712,True,35.294025,-120.66813,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0.6711154139601712,True,35.294025,-120.66813,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0.6711154139601712,True,35.29403,-120.66813,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0.6711154139601712,True,35.29403,-120.66813,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,90.0,90.0,0.0,0.0,inf,0.0,0.0,0,0,0.6711154139601712,True,35.29403,-120.66812,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,-90.0,0.0,0.0,inf,0.0,90.0,0,0,0.6711154139601712,True,35.29403,-120.66812,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,90.0,0,0,0.6711154139601712,True,35.29403,-120.66812,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,90.0,0,0,0.6711154139601712,True,35.29403,-120.66812,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,0.0,0.4241749942302704,-4.156285762786865,0.1020562648773193,0.0,90.0,0,0,0.6711154139601712,True,35.294033,-120.66812,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0.6711154139601712,True,35.294033,-120.66811,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0.6711154139601712,True,35.294037,-120.66811,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0.6711154139601712,True,35.294037,-120.66811,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0.6711154139601712,True,35.294037,-120.66811,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,180.0,-180.0,0.0,0.0,inf,0.0,180.0,0,0,0.6711154139601712,True,35.294033,-120.66811,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,114.67627,-65.32373,0.6924213767051697,1.73521089553833,inf,0.0,24.67626953125,0,0,0.6711154139601712,True,35.29403,-120.668106,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,90.0,-24.67627,0.0,0.0,inf,0.0,0.0,0,0,0.6711154139601712,True,35.29403,-120.6681,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,-90.0,0.0,0.0,inf,0.0,90.0,0,0,0.6711154139601712,True,35.29403,-120.6681,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,90.0,0,0,0.6711154139601712,True,35.29403,-120.6681,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,0.0,0.4241749942302704,0.0,inf,0.0,0.0,0,0,0.6711154139601712,True,35.29403,-120.66809,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0.6711154139601712,True,35.294033,-120.66809,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0.6711154139601712,True,35.294033,-120.66809,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,90.0,90.0,0.0,0.0,inf,0.0,0.0,0,0,0.6711154139601712,True,35.294033,-120.66808,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,-90.0,0.0,0.0,inf,0.0,90.0,0,0,0.6711154139601712,True,35.294033,-120.66808,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,90.0,0,0,0.6711154139601712,True,35.294033,-120.66808,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0.6711154139601712,True,35.294037,-120.668076,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0.6711154139601712,True,35.294037,-120.668076,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0.6711154139601712,True,35.294037,-120.668076,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,90.0,90.0,0.0,0.0,inf,0.0,0.0,0,0,0.6711154139601712,True,35.294037,-120.66807,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,-90.0,0.0,0.0,inf,0.0,90.0,0,0,0.6711154139601712,True,35.294037,-120.66807,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,0.0,0.4241749942302704,0.0,inf,0.0,0.0,0,0,0.6711154139601712,True,35.294037,-120.66806,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0.6711154139601712,True,35.29404,-120.66806,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0.6711154139601712,True,35.29404,-120.66806,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,90.0,90.0,0.4241749942302704,-4.156285762786865,0.1020562648773193,0.0,90.0,0,0,0.6711154139601712,True,35.29404,-120.66805,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,-90.0,0.4241749942302704,-4.156285762786865,0.1020562648773193,0.0,90.0,0,0,0.6711154139601712,True,35.294044,-120.66805,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0.6711154139601712,True,35.294044,-120.668045,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0.6711154139601712,True,35.294044,-120.668045,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0.6711154139601712,True,35.294044,-120.668045,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,65.3237,65.3237,0.0,0.0,inf,0.0,0.0,0,0,0.6711154139601712,True,35.29405,-120.66804,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,-65.3237,0.0,0.0,inf,0.0,65.32369995117188,0,0,0.6711154139601712,True,35.29405,-120.66804,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,90.0,90.0,0.4241749942302704,-4.156285762786865,0.1020562648773193,0.0,90.0,0,0,0.6711154139601712,True,35.29405,-120.66803,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,-90.0,0.4241749942302704,-4.156285762786865,0.1020562648773193,0.0,90.0,0,0,0.6711154139601712,True,35.294052,-120.66803,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0.6711154139601712,True,35.294052,-120.66802,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0.6711154139601712,True,35.294052,-120.66802,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,65.3237,65.3237,0.0,0.0,inf,0.0,0.0,0,0,0.6711154139601712,True,35.294056,-120.668015,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,-65.3237,0.0,0.0,inf,0.0,65.32369995117188,0,0,0.6711154139601712,True,35.294056,-120.668015,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0.6711154139601712,True,35.29406,-120.66801,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0.6711154139601712,True,35.29406,-120.66801,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,0.0,0.4241749942302704,0.0,inf,0.0,0.0,0,0,0.6711154139601712,True,35.294064,-120.66801,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,90.0,90.0,0.4241749942302704,-4.156285762786865,0.1020562648773193,0.0,90.0,0,0,0.6711154139601712,True,35.294064,-120.668,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,-90.0,0.4241749942302704,-4.156285762786865,0.1020562648773193,0.0,90.0,0,0,0.6711154139601712,True,35.294067,-120.668,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0.6711154139601712,True,35.29407,-120.66799,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0.6711154139601712,True,35.29407,-120.66799,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,0.0,0.4241749942302704,0.0,inf,0.0,0.0,0,0,0.6711154139601712,True,35.294075,-120.66799,0.0,0.0,0.0,0.0
